Actual,Predicted,FIPS
16.7,15.359517393184726,51087
21.59,29.590441753279364,51089
5.41,10.666207089039217,51107
32.63,25.140075241417705,51117
32.75,18.46892372200451,51137
16.41,14.419633158303638,51143
10.47,10.908256963498093,51153
15.95,16.55778294646444,51161
23.09,14.53271625662998,51177
13.34,11.282506328916988,51179
35.0,17.251375216732114,51187
12.78,15.601924809197767,51550
56.08,19.961891207450936,51570
37.74,20.34774787429965,51630
17.12,15.36480695692659,51650
57.53,26.870060642746502,51670
19.59,15.457842237614896,51700
15.98,14.856228377771524,51710
26.42,23.884251298990204,51740
31.03,14.41020942748434,51760
47.04,17.58905425249072,51770
11.55,14.53271625662998,51810
7.93,19.555315431423907,53005
13.03,21.087266751740835,53009
7.68,15.60309699170696,53011
9.18,22.767600565387674,53015
11.19,12.92650473934735,53033
5.19,15.517650643272786,53035
10.1,17.084220707094556,53053
13.26,17.43738076685825,53057
15.95,14.838025179940532,53061
6.41,21.589885906385646,53063
8.73,17.678994529587662,53067
10.74,19.271704995239748,53077
50.37,23.83785917958342,54003
82.0,36.71953092742122,54005
114.78,24.000152042398085,54011
41.84,24.83683553562093,54019
55.68,20.81762056008578,54027
20.72,26.45996070734144,54033
38.72,15.193049586996459,54037
47.1,25.53759937379233,54039
49.07,36.5706700943895,54045
60.36,38.42486560244354,54047
44.91,18.971397822436334,54053
45.66,34.86395218325342,54055
18.79,14.54173839220154,54061
40.71,21.2974386264334,54069
33.52,20.219132960186847,54079
60.6,26.784128127254593,54081
60.08,32.47319521328572,54099
27.31,26.74675014262772,54107
49.14,16.72339858528772,55001
6.83,15.396159839758047,55009
20.92,16.324531547704925,55021
15.67,14.137810851978923,55025
23.91,15.412564616851252,55027
9.7,15.840999105259955,55039
11.75,15.444802147801193,55055
18.9,15.31870281106586,55059
15.22,15.078008374004945,55063
29.95,17.56183934515393,55079
10.68,15.173096686663945,55101
22.68,18.193283643671727,55105
20.23,15.598739477844411,55111
10.39,15.238889051622008,55117
15.43,15.861708874379724,55127
14.74,14.552985375671033,55131
12.9,13.454615755776649,55133
10.53,15.078008374004945,55139
