,FIPS,Real Values,Test Values
386,37083,23.73,25.15311654346412
387,37085,17.14,15.930442078456814
388,37087,20.98,16.61089660805075
389,37089,12.85,15.888773836649873
390,37097,14.57,15.805888379224251
391,37099,25.39,16.66429034102593
392,37101,9.87,15.805888379224251
393,37105,16.27,16.2914021826918
394,37109,16.71,15.805888379224251
395,37119,15.36,15.805888379224251
396,37127,23.4,15.930442078456814
397,37129,29.28,15.888773836649873
398,37133,19.73,15.930442078456814
399,37135,14.38,15.805888379224251
400,37141,19.3,15.888773836649873
401,37145,25.31,15.930442078456814
402,37147,17.23,16.66429034102593
403,37151,29.3,16.342085495060772
404,37155,14.41,26.167082778870352
405,37157,27.57,16.66429034102593
406,37159,25.48,16.61089660805075
407,37163,17.29,16.66429034102593
408,37167,33.83,15.930442078456814
409,37169,26.39,15.930442078456814
410,37171,27.8,16.61089660805075
411,37179,13.14,15.805888379224251
412,37183,9.34,15.805888379224251
413,37191,16.23,16.66429034102593
414,37193,21.88,16.66429034102593
415,37197,31.96,16.2914021826918
416,38017,6.06,15.805888379224251
417,39007,13.33,16.61089660805075
418,39015,55.04,15.845968579422557
419,39017,39.23,15.805888379224251
420,39023,47.55,15.972047449695625
421,39025,33.1,15.805888379224251
422,39027,26.15,15.888773836649873
423,39033,26.47,16.66429034102593
424,39035,31.6,16.11163676168601
425,39037,27.28,15.888773836649873
426,39041,13.67,15.805888379224251
427,39043,28.14,15.888773836649873
428,39045,13.48,15.805888379224251
429,39049,32.89,15.805888379224251
430,39053,46.7,16.16856189091001
431,39057,26.19,15.805888379224251
432,39061,39.43,15.845968579422557
433,39063,27.66,15.805888379224251
434,39073,35.23,15.930442078456814
435,39077,27.35,15.845968579422557
436,39081,22.81,15.131558894680568
437,39085,27.33,15.805888379224251
438,39087,45.1,16.66429034102593
439,39089,10.24,15.805888379224251
440,39093,28.76,15.845968579422557
441,39095,32.1,16.61089660805075
442,39099,37.01,16.49654504567911
443,39101,32.18,16.61089660805075
444,39103,18.98,15.805888379224251
445,39105,56.26,11.477764649870856
446,39109,23.54,15.805888379224251
447,39113,46.96,15.930442078456814
448,39119,25.53,16.2914021826918
449,39129,24.1,15.845968579422557
450,39131,46.32,13.528930104474531
451,39133,16.57,15.805888379224251
452,39135,24.39,15.888773836649873
453,39139,36.33,16.11163676168601
454,39141,40.3,16.2914021826918
455,39143,23.81,15.888773836649873
456,39145,51.65,12.957555874090286
457,39151,15.88,15.930442078456814
458,39153,18.82,15.845968579422557
459,39155,36.75,16.11516815793483
460,39157,11.93,15.930442078456814
461,39165,16.8,15.805888379224251
