,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
794,13117,5.3,103083,3.7,47.0,10.09
795,13121,14.8,64901,4.8,44.2,9.7
796,13127,17.0,50740,4.7,93.7,14.07
797,13135,10.7,68957,4.2,43.5,7.93
798,13139,13.3,61320,3.9,87.1,11.54
799,13151,9.8,67493,4.8,70.6,9.3
800,13187,13.9,55453,4.1,73.9,30.42
801,13215,22.6,42610,5.9,86.5,6.18
802,13217,13.4,55632,5.3,75.8,9.25
803,13223,8.3,67906,4.1,53.5,12.54
804,13245,23.7,38297,5.9,77.1,15.36
805,13313,16.5,42568,5.4,86.6,10.51
806,15003,8.3,80947,2.3,29.4,3.34
807,15009,10.0,76376,2.6,51.3,6.01
808,16001,10.8,61469,2.8,64.5,6.79
809,16005,14.2,51093,3.1,93.2,14.07
810,17007,8.8,69413,6.8,46.4,22.42
811,17019,19.2,51466,4.4,58.8,12.89
812,17031,14.6,61401,5.1,37.2,19.9
813,17037,14.1,60856,4.7,53.4,14.32
814,17043,6.2,89536,3.9,42.2,13.01
815,17055,19.5,40682,6.6,109.5,30.74
816,17083,10.3,58928,4.9,109.9,54.69
817,17089,9.2,75739,4.9,37.5,12.34
818,17091,15.0,57706,5.5,76.3,21.9
819,17093,4.8,97039,4.3,47.8,10.3
820,17097,7.7,86242,4.6,47.5,7.82
821,17099,14.3,56854,5.7,76.6,28.16
822,17111,6.1,86450,4.4,56.8,23.94
823,17113,15.6,68895,4.2,52.7,13.93
824,17115,14.3,51828,5.6,86.5,10.4
825,17119,14.4,58077,4.8,97.2,30.52
826,17143,15.4,54195,5.9,69.2,24.04
827,17163,16.0,51937,5.1,69.0,8.0
828,17167,15.4,61519,4.3,85.4,19.85
829,17179,9.1,61086,5.4,81.8,21.72
830,17183,19.4,43649,6.5,85.1,24.39
831,17197,7.0,82477,5.0,50.0,17.76
832,17199,15.3,49993,5.2,134.3,17.82
833,17201,14.2,53490,6.5,86.0,30.55
834,18003,13.1,52661,3.4,66.8,11.53
835,18005,10.6,61943,2.8,81.4,25.6
836,18019,10.6,52746,3.5,90.9,23.08
837,18039,10.8,58781,2.5,61.8,10.24
838,18041,15.5,44970,5.1,103.4,60.32
839,18043,10.5,61009,3.4,115.9,31.14
840,18053,18.4,44790,3.9,91.4,25.57
841,18057,3.8,95080,2.8,46.9,11.12
842,18063,5.1,75647,2.9,65.0,6.11
843,18067,14.5,51035,3.8,113.4,26.71
844,18071,12.7,48789,3.0,73.9,25.07
845,18075,14.3,46740,3.5,79.1,52.52
846,18085,10.4,62666,2.7,64.2,20.2
847,18089,15.9,54929,5.1,74.9,23.47
848,18091,14.5,51532,4.5,89.1,13.63
849,18095,17.4,44987,4.0,98.9,23.94
850,18097,17.6,47642,3.6,65.3,23.79
851,18105,21.6,49180,3.7,63.9,10.21
852,18107,12.1,53720,3.1,92.0,25.96
853,18109,9.9,61068,3.5,101.3,18.65
854,18127,10.4,67525,4.1,83.2,19.6
855,18135,15.3,46016,4.2,67.6,60.19
856,18141,16.0,52188,3.6,71.8,21.45
857,18149,17.1,46940,4.4,104.5,61.15
858,18157,18.0,52858,3.2,63.7,10.49
859,18163,17.5,47456,3.3,121.5,23.68
860,18169,13.3,50177,3.5,84.6,34.98
861,18177,16.6,44179,3.8,82.8,77.06
862,19103,15.3,61395,2.5,28.7,6.7
863,19113,9.0,63754,3.3,56.5,8.92
864,19153,9.5,66112,3.1,70.1,12.04
865,19163,11.3,59461,3.6,64.3,9.85
866,20045,15.9,56007,3.2,59.1,8.28
867,20091,5.3,83516,3.0,59.1,3.89
868,20173,14.2,54176,4.3,93.1,6.81
869,20177,11.7,56810,3.7,90.9,6.17
870,21005,10.4,53113,4.1,78.2,44.36
871,21015,7.1,78163,3.9,80.3,29.07
872,21019,20.1,40752,7.2,78.6,54.19
873,21029,9.2,62550,4.2,63.1,37.39
874,21037,10.9,61384,3.8,76.8,67.04
875,21043,28.2,37186,9.9,65.5,44.21
876,21049,14.1,53784,4.7,90.5,30.52
877,21067,16.5,56192,3.7,55.6,34.17
878,21071,32.2,32841,8.4,215.9,27.57
879,21073,13.7,53198,4.1,81.9,41.6
880,21081,13.9,51849,4.9,100.6,40.03
881,21089,16.0,46699,7.7,60.0,28.15
882,21093,12.8,52673,4.6,80.9,13.88
883,21111,14.1,54977,4.4,76.5,32.81
884,21113,14.7,57015,3.8,78.9,54.33
885,21117,12.0,59594,4.0,66.4,62.27
886,21121,32.2,28586,7.6,82.1,35.23
887,21151,17.0,50783,4.3,74.9,41.65
888,21161,18.0,45608,6.2,95.0,58.23
889,21173,17.7,43890,6.7,130.7,39.39
890,21179,9.8,58960,4.4,85.2,30.67
891,21195,28.8,34076,7.8,191.4,16.98
892,21199,23.7,36295,5.7,83.4,15.52
893,21209,10.4,67234,3.7,70.9,21.87
894,21227,16.1,49966,4.1,83.5,7.76
895,22017,25.8,37636,5.8,105.6,4.46
