id,description,water,vol. sil,non vol sil,humectant,occlusive,shear gel,elastomer,emollient,surfactant,particle,polymer,pres.,total,pred absorb.,pred cream,pred drag-I,pred gloss,pred greasy-5,pred greasy-I,pred oily-I,pred peak,pred silky-5,pred silky-I,pred spread,pred sticky-5,pred sticky-1,pred thick,pred wet ,pred visc,pred yld stress,pred dry time,pred RI8,SSNC absorb.,SE,SSNC cream,SSNC drag-I,SSNC gloss,SSNC greasy-5,SSNC greasy-I,SSNC oily-I,SSNC peak,SSNC silky-5,SSNC silky-I,SSNC spread,SSNC sticky-5,SSNC sticky-1,SSNC thick,SSNC wet ,SSNC study,meas. visc,meas yld stress,meas dry time,act RI 8,SSNC dim 1 all,SSNC dim 2 all,SSNC dim 1 15,SSNC dim 2 15,SSNC dim 1 15 corr,SSNC dim 2 15 corr,pred dim 1,pred dim 2,corr pred dim 1,corr pred  dim 2,surf chassis,elastomer type,polymer system
,DIFG,68.209,1,2,18.26,1,0,0,2,6.05,0.1,0.32,1.061,100,38.34,38.26,44.83,65.41,8.84,18.28,10.4,41.92,17.5,16.78,68.77,16.75,34.19,37.52,56.27,1551,54,12.1,31,37.8,0.29,35.5,44.5,65.25,7.85,18.15,12.25,42.5,20.9,17.25,67.75,15,31.25,33,58.5,16-0064,1502,102,14.5,29.6,-0.4,0.18,-0.417,-0.077,-0.34,0.02,-0.3,-0.21,-0.15,-0.19,VICL,none,Carbopol
,PDWN,81.95,0,1,8.05,0,0,0,3.3,2.2,0,2.8,0.7,100,37.91,25.69,45.19,73.46,6.89,15.9,9.89,23.16,17.36,13.73,77.81,11.33,35.18,28.2,76.8,857,29,14.5,32.8,33.9,16.11,19.25,44.5,79,3.9,12.35,13.25,12.25,18.75,13.5,83.75,9.85,41.25,16,83,16-0064,284,2,,34.1,-2.9,-1.17,-1.967,-0.63,-2.86,-0.66,-1.333,-0.559,-1.5,-0.58,other,none,Sepigel/Veegum/xanthan
,PFP,46.097,3.5,0.75,3.5,0,0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,26.85,25.02,35,17.25,60.9,9.35,23.25,13.9,35.5,46.25,49,76,8.9,31.9,36.9,60.75,16-0064,1945,31,,6.2,-0.89,2.21,-0.907,2.583,-0.91,2.33,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel
NK16906-82,"map position (-1,-1)",81.8,0,0.3,8.7,0,0,0,0.6,7.5,0.1,0.3,0.7,100,37.8,31.74,57.3,66.71,5.21,12.4,9.87,41.58,14.7,12.69,78.34,11.64,33.2,29.3,73.03,834,28,14.4,34.1,31.6,38.43,25.3,45.9,80.3,7.5,15.5,9.9,17.8,16.7,13.8,78.5,17.6,42.8,20.8,78.7,17-041,,,,33.8,,,-1.589,-0.708,-2.03,-0.76,-0.851,-1.03,-0.83,-1.13,VICL,none,Carbopol/Simulgel/xanthan
NK16906-76,match Nivea Crème,40.05,0,0,13.5,18,0,0,14,12.75,0,1,0.7,100,52.28,59.38,55.18,52.24,32.82,47.3,12.86,52.81,16.3,13.57,38,23.65,43.65,73.73,10.71,3011,103,8.8,39.5,32.1,407.32,71.3,50.3,51.5,26.2,41,12.9,57.3,15.3,13.9,30,21.5,33.8,78.6,11.6,17-041,,,,41.3,,,2.414,0.151,2.28,0.27,2.107,-0.159,1.66,-0.13,VICL,none,Carbopol/Simulgel/xanthan
NK16906-80,match Nivea Soft Cream,74.79,0,0,5,10.2,0,0,3,5.19,0,1.12,0.7,100,42.82,46.24,43.8,62.05,20.81,32.48,11.78,44.12,16.21,13.38,59.57,16.16,38.57,47.75,50.08,1162,83,13.6,33.7,33.5,86.93,53.8,43.3,57.6,14.5,34.6,13,46.1,15.2,14.5,39.5,19.6,38.7,52.7,26,17-041,,,,34.3,,,1.225,0.203,0.97,0.32,0.325,-0.102,0.5,-0.07,VICL,none,Carbopol/Simulgel/xanthan
NK16906-81,match Olay Regenerist,61.38,0.1,0.2,3,0.5,0,29,0,4.4,0.1,0.62,0.7,100,32.42,38.42,23.83,59.29,9.1,18.25,11.27,38.75,34.38,35.88,68.31,9.25,23.79,35.07,56.32,2098,34,10.5,16.3,26.9,30.47,34.5,16.5,56.3,4,9,6.4,42.4,46,47,67.8,4.8,15.9,34.9,55.3,17-041,,,,7.3,,,-0.693,2.609,-0.64,2.35,-0.566,1.684,-0.47,1.61,VICL,homemade,Carbopol/Simulgel/xanthan
gjm647,match Olay silky,60.25,0,3,3,1.6,0,28.5,0.1,2,0.05,0.75,0.75,100,32.98,39.31,21.78,60.8,11.3,21.47,11.59,36.77,33.95,34.57,68.11,10.16,24.23,36.56,57.88,2585,50,9.1,17.1,26.3,44.61,30.3,15.9,56.8,6,12.5,9,32.8,57.9,52.8,71.3,9.9,20.8,30.8,63.5,17-041,,,,4.2,,,-1.171,2.954,-1.29,2.61,-0.58,1.709,-0.48,1.63,silky,homemade,Aristoflex
gjm644,"map position (-1,-1.5)",82.29,0,1,6.25,0,0,0,0,7.98,1.7,0.08,0.7,100,37.8,33.96,63,64.74,4.65,10.44,9.87,41.78,13.72,12.32,80.35,10.44,29.44,30.01,76.7,836,29,14,34.6,32.9,23.99,38,76,66.8,5.3,10.9,7.4,18.8,16.9,12.8,72,17.6,39,32,76,17-041,,,,33.1,,,-0.959,-1.922,-0.98,-2.7,-0.875,-1.324,-0.86,-1.5,VICL,none,Carbopol/Simulgel
gjm646,"map position (1, 2.25)",32.545,2,6.25,10.7,6.4,0,27.5,4.7,7.7,1,0.505,0.7,100,35.85,55.73,26.87,54.65,20.33,34.68,12.67,44.2,34.53,37.43,47.83,17,26.23,61.13,20.9,4594,82,4.3,21.3,43.8,63.27,63.3,20.6,52.7,12.1,24.6,13.2,60.1,24.2,27.5,37.3,12.1,21.1,67.9,14.9,17-041,,,,30.1,,,1.701,1.792,1.4,1.73,1.066,1.965,1.11,1.83,VICL,homemade,Carbopol/Simulgel
gjm650,match Vichy crème,56.81,0,0,9,7,0,4,8.6,13.49,0,0.4,0.7,100,40.34,58.64,40.38,55.27,20.37,33.5,11.84,47.12,18.51,18.28,44.08,16.54,30.3,62.05,19.74,1827,72,11.1,33.6,30.4,98.75,66.9,37,57.6,17.8,32.7,10.7,62,17.3,13.6,33.2,20.7,37,69.6,14.6,17-041,,,,37.9,,,2.05,0.651,1.78,0.77,1.413,0.517,1.33,0.57,VICL,homemade,Carbopol/Simulgel
,Dove Tinderbox,55.09,0,0,6.09,17,0,0,12,8.37,0.2,0.35,0.9,100,49.85,62.1,53.68,56.3,31.16,45.36,12.65,50.01,15.96,13.72,44.07,19.82,39.06,70.05,27.86,2564,107,11.9,38.4,28.4,460.29,73,60.8,54.6,31.6,51.8,12.5,50.7,13.4,11.8,35.1,25.8,42.5,77.7,12.8,17-041,,,,42.3,,,2.351,-0.407,2.19,-0.38,1.633,-0.245,1.45,-0.23,VICL,none,Carbopol/Veegum
,Fair & Lovely,74.89,0,0.5,1.18,0,0,0,3.65,18.01,0.9,0,0.87,100,37.95,53.62,78.11,52.7,7.07,16.23,9.89,45.68,13.27,12.43,64.65,7.42,21.63,49.51,42.13,1237,34,13.9,35.4,31.4,42.9,57.5,80.6,58.6,6.8,12.9,6.5,44.3,15.3,11.3,62,7.1,15.3,47.8,41.4,17-041,,,,35,,,0.631,-1.664,0.53,-2.23,0.626,-1.565,0.77,-1.8,other,none,none
,Intensive Firming Gel Cream,68.209,1,2,18.26,1,0,0,2,6.05,0.1,0.32,1.061,100,38.34,38.26,44.83,65.41,8.84,18.28,10.4,41.92,17.5,16.78,68.77,16.75,34.19,37.52,56.27,1551,54,12.1,31,38.9,0.32,33.9,42.7,65,9.2,17.4,12.5,41.6,19.3,16.3,66.3,19.5,30.8,30.4,56.9,17-041,,,,30.8,,,-0.441,-0.101,-0.36,-0.01,-0.3,-0.21,-0.15,-0.19,VICL,none,Carbopol
,Ponds Double White Night Lotion,81.95,0,1,8.05,0,0,0,3.3,2.2,0,2.8,0.7,100,37.91,25.69,45.19,73.46,6.89,15.9,9.89,23.16,17.36,13.73,77.81,11.33,35.18,28.2,76.8,857,29,14.5,32.8,32.3,31.51,20,43,79.4,6,12.4,15.2,12.5,19.3,13.3,83.5,18.4,41.4,16.3,83.3,17-041,,,,33.9,,,-1.972,-0.62,-2.88,-0.65,-1.333,-0.559,-1.5,-0.58,other,none,Sepigel/Veegum/xanthan
,Ponds Fine Pore,46.097,3.5,0.75,3.5,0,0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,26,34.24,33.9,14.5,58.3,10.9,26,11.7,32.7,60.2,64.3,78.8,12.7,29.3,32.8,63.8,17-041,,,,1.8,,,-1.203,3.388,-1.34,2.94,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel
