,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
786,53057,13.0,54600.0,10.9,105.2,8.55,1.0
787,53061,10.0,63391.0,10.7,97.5,11.21,1.0
788,53063,14.7,46881.0,10.1,102.6,8.06,1.0
789,53067,10.7,60672.0,9.0,79.3,6.74,1.0
790,53073,14.4,49999.0,9.5,83.6,6.96,1.0
791,53077,23.9,40503.0,10.6,80.2,7.4,1.0
792,54003,12.7,50923.0,8.6,114.9,16.32,1.0
793,54005,18.9,38126.0,8.8,212.2,69.02,1.0
794,54011,23.3,36274.0,7.2,194.3,24.92,1.0
795,54019,22.6,30856.0,10.0,113.1,32.58,1.0
796,54033,17.3,40441.0,7.6,155.3,21.71,1.0
797,54039,14.8,43110.0,7.4,168.4,17.61,1.0
798,54043,24.2,34119.0,11.7,65.9,50.64,1.0
799,54045,22.3,33202.0,10.1,287.4,51.71,1.0
800,54047,33.6,24133.0,13.2,192.9,99.49,1.0
801,54055,21.6,32366.0,8.5,175.3,43.36,1.0
802,54059,23.7,31915.0,9.8,267.0,52.16,1.0
803,54081,18.0,37915.0,8.1,190.3,46.92,1.0
804,54099,20.2,36360.0,8.5,99.2,35.31,1.0
805,54109,20.0,35872.0,10.4,214.4,109.26,1.0
806,55025,12.3,58958.0,5.9,68.9,9.22,1.0
