,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
70,12033,17.6,42742,7.2,128.9,4.25
71,12053,15.6,39280,9,107.2,8.03
72,12057,16.8,49510,6.6,77.0,8.52
73,12071,16.3,46605,7.3,70.1,6.5
74,12073,21.7,46975,6.1,71.4,4.26
75,12081,16,48066,6.7,84.9,15.78
76,12083,19.6,38783,8.5,90.9,3.85
77,12085,13.5,51159,7.2,79.8,6.61
78,12086,21,41840,7.4,34.1,2.52
79,12095,18.2,46675,6.8,54.2,7.43
80,12097,20.7,41592,7.9,68.5,8.04
81,12099,15,51768,7.1,63.9,5.83
82,12101,13.5,45454,7.7,95.5,8.41
83,12103,15.1,43773,6.6,90.9,5.92
84,12105,19.3,42447,8.2,76.7,2.73
85,12109,9.6,66312,5.4,67.3,6.68
86,12111,19,42825,10,73.1,4.18
87,12113,13.8,54876,6.4,121.6,6.21
88,12115,13,48717,7,88.5,12.29
89,12117,12.9,55195,6.7,64.5,9.17
90,12127,16.6,40908,8.2,89.7,13.78
91,13045,17.9,45493,9.6,132.7,8.9
92,13051,20.3,45254,8.3,94.1,5.03
93,13057,11,67686,6.1,73.6,8.0
94,13063,25.4,40606,10.8,52.7,4.16
95,13067,13.8,62866,6.7,68.7,2.37
96,13089,19.9,49894,8.4,48.9,2.52
97,13117,7.7,87565,5.9,58.2,5.63
98,13121,18.2,55474,8.1,53.8,6.81
99,13135,13.7,59081,6.9,52.1,4.42
100,13139,20.8,46986,6.8,101.6,5.86
101,13151,11.6,60087,8.4,88.1,4.74
102,13223,11.6,60008,7.2,66.2,7.49
103,13297,14.2,54294,7.8,119.0,15.16
104,15003,9.6,72649,4.4,39.0,4.78
105,16001,13.6,53420,5.2,83.1,8.64
106,17019,21.6,46917,7.4,72.2,6.34
107,17031,17.8,53795,9.6,46.2,9.12
108,17043,7,76269,7.4,52.7,6.01
109,17089,10.9,71444,8.7,46.6,4.2
110,17091,16.7,49584,10.4,89.1,13.38
111,17097,9.5,75106,7.9,59.1,6.26
112,17099,13.8,49487,10.3,93.5,17.83
113,17111,7.1,75713,8.6,73.4,5.86
114,17119,13.7,53864,8.9,121.9,13.1
115,17143,17,49827,9.6,89.7,10.61
116,17163,18.3,48343,9.8,82.5,8.62
117,17167,15.2,55255,7.4,113.5,7.03
118,17197,8.5,74669,9.8,59.8,7.03
119,17201,16.3,47214,10.5,108.9,19.95
120,18019,11.7,50296,6.9,149.2,11.51
121,18035,23,37116,8.6,145.8,9.36
